,Human,Bacteria,Virus,Parasite,Fungus,Unclassified
IDBD-D100404,89.50715976264662,4.4469214711429625,0.010635740962074584,0.7537922325274775,0.00530878010414663,5.276182012616716
IDBD-D100405,19.53500427142101,75.41742568725216,0.17137948368545236,0.13218123748625685,0.004561250466815477,4.739448069688305
IDBD-D100406,7.43427770408659,87.35605929926619,0.033904555701616115,0.08454328977291879,0.006860220042549226,5.084354931130132
IDBD-D100407,73.82553529080653,20.47074181727244,0.011586427279272159,0.683001750980152,0.0046943167613994015,5.004440396900215
IDBD-D100408,47.446803896480276,46.76954850151466,0.023658046594522766,0.2735352109498202,0.0025629550477399665,5.48389138941298
IDBD-D100409,81.80534030072339,9.587870538981454,0.0008239817645344765,0.9267360359435827,0.006104955800869076,7.673124186786179
IDBD-D100410,3.3673847187154764,91.4264875837151,0.004814556992119446,0.02646016859305315,0.00039789727207598726,5.174455074712176
IDBD-D100411,27.40747221208057,65.26668868512914,0.008189750280326985,0.19832737785154048,0.0017841188274728074,7.117537855830946
IDBD-D100412,91.50113626056637,2.268172852743578,0.00025944391414108395,0.8586452004847658,0.005178500526256035,5.366607741764887
IDBD-D100413,0.42272720317381657,94.36360300135671,0.022811195693698876,0.03704569041349857,0.009463945902233581,5.144348963460039
IDBD-D100414,92.35970754907949,2.33195478031286,0.00104164026397942,0.6933620548275454,0.0056132836447779855,4.608320691871352
IDBD-D100415,82.69527439406016,12.438599226111998,0.0032818607140445337,0.5808262336798431,0.004870197149367369,4.277148088284577
IDBD-D100416,85.48441239240385,8.253332296178117,0.002088231977513918,0.679823920279656,0.004672419049687392,5.575670740111177
IDBD-D100417,31.68044884732561,62.104828761949,0.6703898164632447,0.17724778834900226,0.011447750437448657,5.35563703547569
IDBD-D100418,0.5496104353705183,93.9805046402555,0.03233666876597776,0.03967735608770728,0.00899704753791465,5.388873851982381
IDBD-D100419,86.50079699225799,8.481132423292188,0.00201103483543271,0.7183584018401926,0.004919853079540737,4.292781294694651
IDBD-D100420,0.028284928756086656,94.83714116244529,0.006221884940693579,0.033347704510826616,0.009139642546714765,5.08586467680039
IDBD-D100438,68.2937734612999,25.68518827576415,0.007348197449801848,0.5622616506293295,0.008406836065451267,5.443021578791359
IDBD-D100439,9.078704587176812,85.00402213897584,0.02078745694205814,0.08435296032436454,0.007385897080699114,5.804746959500219
IDBD-D100440,75.0114397771315,19.16575098684407,0.024148567060608053,0.6126159280514533,0.12242241106459723,5.063622329847778
IDBD-D100441,10.5130237949936,71.13364520783449,0.3255834380183739,0.08948169239341569,0.0064732410397077295,17.931792625720405
IDBD-D100442,3.2714152637613614,87.26640502306095,1.7502499433944123,0.03906819448335899,0.01098510264996862,7.661876472649937
IDBD-D100443,57.58875931745578,36.94126691426642,0.08070020517881724,0.4398410513466483,0.005921616497415786,4.943510895254915
IDBD-D100444,84.81870529529455,9.695102303117245,0.05415993839420789,0.6333708963606342,0.004951765796041864,4.7937098010373225
