id	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
12297	family	Lactobacillaceae	2	1	11			4.93	0.48	[6, 7, 6, 5, 5, 4, 9, 6, 5, 5, 4, 6, 5, 5, 7, 5, 5, 5, 9, 4, 5, 5, 6, 4, 9, 4, 9, 4, 4, 5, 5, 5, 4, 5, 5, 4, 6, 7, 5, 6, 8, 5, 5, 5, 5, 5, 4, 5, 5, 6, 5, 5, 5, 5, 4, 6, 5, 4, 4, 5, 5, 7, 4, 5, 5, 5, 4, 4, 5, 4, 4, 4, 7, 4, 6, 6, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 8, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 6, 5, 4, 6, 6, 5, 7, 7, 6, 6, 6, 5, 5, 7, 5, 7, 6, 5, 5, 5, 5, 11, 10, 8, 9, 8, 9, 5, 5, 4, 4, 5, 4, 9, 4, 5, 5, 9, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 4, 5, 7, 5, 5, 5, 5, 7, 7, 5, 1, 5, 5, 5, 5, 4, 6, 6, 7, 8, 8, 5, 9, 9, 4, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 3, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 6, 5, 5, 5, 5, 6, 6, 7, 7, 6, 7, 6, 7, 5, 5, 5, 9, 5, 5, 6, 5, 7, 5, 4, 5, 5, 7, 6, 5, 9, 5, 7, 7, 7, 7, 7, 5, 5, 5, 4, 5, 5, 2, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]
12298	family	Anaplasmataceae	3	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
12299	family	Synergistaceae	5	2	5			3.20	0.98	[5, 2, 3, 3, 3]
12300	family	Sulfuricellaceae	2	2	3			2.50	0.50	[3, 2]
12301	family	Methanoregulaceae	2	1	3			2.00	1.00	[1, 1, 3]
12302	family	Sulfolobaceae	3	1	1			1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
12303	family	Clostridiales_Incertae Sedis XI	6	2	6			3.50	1.29	[4, 3, 2, 3, 2, 4, 6, 3, 3]
12304	family	Micromonosporaceae	5	1	6			3.17	1.13	[3, 3, 1, 1, 6, 6, 4, 3, 6, 6, 3, 3, 3, 3, 3, 3]
12305	family	Bdellovibrionaceae	1	1	2			1.50	0.00	[2, 2, 1, 2, 1, 1]
12306	family	Clostridiales_Incertae Sedis IV	1	3	3			3.00	0.00	[3]
12307	family	Nocardiaceae	3	2	6			3.56	0.50	[5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 5, 6, 5, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 3, 4, 4, 3]
12308	family	Simkaniaceae	1	1	1			1.00	0.00	[1]
12309	family	Peptococcaceae 2	2	5	10			8.00	0.00	[8, 8, 10, 8, 5, 8, 9]
12310	family	Trueperaceae	1	2	2			2.00	0.00	[2]
12311	family	Pasteurellaceae	15	1	7			5.92	0.25	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 5, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
